id_fait,annee,code_departement,id_indicateur,nombre_faits,taux_pour_mille,population,nombre_logements
498,2021,17,4,3,0.005,661404,451118
499,2021,18,4,3,0.010,299573,179274
500,2021,19,4,1,0.004,239784,156356
501,2021,21,4,2,0.004,535503,297329
502,2021,22,4,8,0.013,605917,376517
503,2021,23,4,3,0.026,115702,89016
504,2021,24,4,1,0.002,413730,264136
505,2021,25,4,8,0.015,547096,288184
506,2021,26,4,8,0.015,519458,282419
507,2021,27,4,8,0.013,598934,300922
508,2021,28,4,3,0.007,431277,219670
509,2021,29,4,11,0.012,921638,556255
510,2021,2A,4,8,0.049,162942,124954
511,2021,2B,4,6,0.032,184655,136722
512,2021,30,4,13,0.017,756543,441086
513,2021,31,4,13,0.009,1434367,769604
514,2021,32,4,3,0.016,192437,112806
515,2021,33,4,17,0.010,1654970,913452
516,2021,34,4,17,0.014,1201883,760879
517,2021,35,4,10,0.009,1098325,575321
518,2021,36,4,2,0.009,217228,139055
519,2021,37,4,4,0.007,612160,333159
520,2021,38,4,10,0.008,1284948,673024
521,2021,39,4,0,0.000,258555,151865
522,2021,40,4,3,0.007,422976,270194
523,2021,41,4,2,0.006,328504,186408
524,2021,42,4,9,0.012,769029,405452
525,2021,43,4,3,0.013,227284,145236
526,2021,44,4,9,0.006,1457806,787187
527,2021,45,4,7,0.010,684561,353544
528,2021,46,4,1,0.006,174942,120797
529,2021,47,4,5,0.015,331229,189189
530,2021,48,4,0,0.000,76519,62006
531,2021,49,4,7,0.008,824743,406488
532,2021,50,4,4,0.008,495508,302441
533,2021,51,4,11,0.019,565292,300919
534,2021,52,4,2,0.012,171042,100716
535,2021,53,4,3,0.010,305933,159714
536,2021,54,4,6,0.008,732486,384639
537,2021,55,4,1,0.005,181919,100190
538,2021,56,4,8,0.010,768687,481682
539,2021,57,4,15,0.014,1049942,531542
540,2021,58,4,1,0.005,202417,141381
541,2021,59,4,29,0.011,2611293,1251657
542,2021,60,4,5,0.006,828838,382118
543,2021,61,4,4,0.014,276973,165115
